 # mass   0.511003971      MeV
 # Ekin   0.100000001      MeV
 # path    9.49258208E-02  um
 # mean dE/dx    751.205688      eV/um
 #         j   dE [eV]      dE*dE*dsig/ddE [eV*eV/cm]
 START
   1  1.79589844  913.091675
   2  1.81545448  934.483582
   3  1.83522356  956.409607
   4  1.85520780  978.846863
   5  1.87540972  1001.80701
   6  1.89583158  1025.30261
   7  1.91647589  1049.41772
   8  1.93734491  1074.11230
   9  1.95844126  1099.38135
  10  1.97976732  1125.23779
  11  2.00132561  1151.69775
  12  2.02311873  1178.80945
  13  2.04514909  1206.54932
  14  2.06741929  1234.93176
  15  2.08993196  1263.97156
  16  2.11268973  1294.19507
  17  2.13569546  1325.53577
  18  2.15895176  1357.60754
  19  2.18246126  1390.42664
  20  2.20622683  1423.82849
  21  2.23025107  1457.48022
  22  2.25453687  1575.18591
  23  2.27908707  1614.26794
  24  2.30390477  1656.05688
  25  2.32899261  1698.54053
  26  2.35435367  1741.76611
  27  2.37999082  1785.80664
  28  2.40590715  1830.93494
  29  2.43210578  1877.66370
  30  2.45858979  1925.47559
  31  2.48536205  1974.23486
  32  2.51242590  2024.62378
  33  2.53978443  2076.67358
  34  2.56744099  2129.83618
  35  2.59539866  2184.13574
  36  2.62366080  2239.51953
  37  2.65223050  2296.14697
  38  2.68111134  2353.89380
  39  2.71030664  2413.49414
  40  2.73982000  2475.16211
  41  2.76965475  2538.05591
  42  2.79981422  2602.28223
  43  2.83030224  2669.80664
  44  2.86112213  2738.52856
  45  2.89227772  2808.55640
  46  2.92377257  2881.23608
  47  2.95561028  2955.48486
  48  2.98779488  3030.89917
  49  3.02032995  3107.84961
  50  3.05321932  3185.96753
  51  3.08646679  3264.94922
  52  3.12007618  3343.06372
  53  3.15405154  3420.21729
  54  3.18839693  3497.87866
  55  3.22311640  3547.87964
  56  3.25821376  3585.50415
  57  3.29369330  3625.09790
  58  3.32955933  3596.05566
  59  3.36581588  3550.25000
  60  3.40246725  3507.45850
  61  3.43951774  3539.85840
  62  3.47697163  3567.90088
  63  3.51483345  3611.80103
  64  3.55310750  3688.35474
  65  3.59179831  3766.78003
  66  3.63091040  3844.97998
  67  3.67044854  3923.72949
  68  3.71041703  4002.09155
  69  3.75082088  4076.30371
  70  3.79166460  4151.05469
  71  3.83295321  4221.54541
  72  3.87469125  4291.14453
  73  3.91688395  4355.34473
  74  3.95953608  4411.19824
  75  4.00265265  4464.68311
  76  4.04623890  4484.20605
  77  4.09029961  4502.81006
  78  4.13484001  4450.59424
  79  4.17986536  4372.43457
  80  4.22538090  4267.08398
  81  4.27139235  4112.05664
  82  4.31790495  3969.86401
  83  4.36492395  3849.06714
  84  4.41245508  3706.47583
  85  4.46050358  3694.88379
  86  4.50907516  3665.57886
  87  4.55817556  3732.15576
  88  4.60781097  3799.69873
  89  4.65798664  3985.93506
  90  4.70870876  4200.50586
  91  4.75998306  4458.76221
  92  4.81181574  4748.03857
  93  4.86421299  5043.02979
  94  4.91718102  5365.60107
  95  4.97072554  5699.40137
  96  5.02485323  6048.91553
  97  5.07957029  6403.16113
  98  5.13488340  6728.34082
  99  5.19079876  7036.81543
 100  5.24732304  7218.69824
 101  5.30446243  7368.84229
 102  5.36222410  7421.01025
 103  5.42061472  7489.16357
 104  5.47964144  7598.27979
 105  5.53931093  7791.16602
 106  5.59962988  8039.97314
 107  5.66060591  8344.02734
 108  5.72224569  8656.07324
 109  5.78455687  8968.06543
 110  5.84754658  9251.42773
 111  5.91122198  9530.20410
 112  5.97559118  9824.04297
 113  6.04066133  10180.0469
 114  6.10644007  10592.2422
 115  6.17293501  11028.1475
 116  6.24015379  11485.2803
 117  6.30810452  11966.8955
 118  6.37679529  12478.1914
 119  6.44623423  13013.8477
 120  6.51642895  13579.4844
 121  6.58738804  14182.0469
 122  6.65912008  14818.8125
 123  6.73163319  15497.8887
 124  6.80493593  16228.4307
 125  6.87903690  17061.5215
 126  6.95394468  17964.0508
 127  7.02966833  18865.7578
 128  7.10621643  19701.2227
 129  7.18359804  20585.6953
 130  7.26182222  21138.6504
 131  7.34089851  21577.9746
 132  7.42083549  22078.5605
 133  7.50164318  22826.5957
 134  7.58333063  23591.4824
 135  7.66590786  24489.9902
 136  7.74938440  25458.2070
 137  7.83376980  26499.6309
 138  7.91907406  27644.5508
 139  8.00530720  28853.0898
 140  8.09247971  30076.6680
 141  8.18060112  31370.0605
 142  8.26968193  32673.7129
 143  8.35973263  34024.0430
 144  8.45076466  35576.6211
 145  8.54278755  37348.6211
 146  8.63581276  39213.7930
 147  8.72985077  41149.9023
 148  8.82491302  43154.8789
 149  8.92101002  45058.0234
 150  9.01815319  47146.0195
 151  9.11635494  49751.7422
 152  9.21562576  52485.5391
 153  9.31597710  54864.7656
 154  9.41742134  57481.6016
 155  9.51996994  60793.2656
 156  9.62363529  64331.8867
 157  9.72842979  67899.3203
 158  9.83436584  71735.0312
 159  9.94145489  75814.0859
 160  10.0497103  80269.0859
 161  10.1591444  85155.4219
 162  10.2697706  90656.7266
 163  10.3816013  96824.2188
 164  10.4946499  103172.281
 165  10.6089296  110056.539
 166  10.7244530  117300.320
 167  10.8412342  125183.078
 168  10.9592876  133649.031
 169  11.0786266  142768.703
 170  11.1992655  152739.188
 171  11.3212175  163378.156
 172  11.4444971  175046.828
 173  11.5691195  187727.297
 174  11.6950989  201487.125
 175  11.8224506  216634.547
 176  11.9511890  262745.031
 177  12.0813293  281840.688
 178  12.2128868  302403.562
 179  12.3458767  325258.500
 180  12.4803143  350233.719
 181  12.6162157  377360.938
 182  12.7535973  407694.188
 183  12.8924751  441233.781
 184  13.0328655  478045.750
 185  13.1747847  519154.312
 186  13.3182487  565577.125
 187  13.4632750  617192.438
 188  13.6098804  674678.312
 189  13.7580824  740951.500
 190  13.9078979  817063.938
 191  14.0593452  903325.438
 192  14.2124414  1000554.62
 193  14.3672047  1110584.25
 194  14.5236530  1234733.88
 195  14.6818056  1373827.38
 196  14.8416805  1529521.25
 197  15.0032959  1703542.88
 198  15.1666708  1900489.00
 199  15.3318253  2118843.00
 200  15.4987783  2358308.50
 201  15.6675491  2617424.50
 202  15.8381577  2892642.50
 203  16.0106239  3177605.50
 204  16.1849689  3461508.00
 205  16.3612118  3728298.25
 206  16.5393734  3961555.75
 207  16.7194748  4144954.25
 208  16.9015388  4265133.50
 209  17.0855846  4314332.50
 210  17.2716351  4291923.00
 211  17.4597111  4204306.00
 212  17.6498356  4063238.00
 213  17.8420296  3883227.50
 214  18.0363159  3678967.00
 215  18.2327194  3463410.25
 216  18.4312611  3246844.00
 217  18.6319637  3036778.25
 218  18.8348522  2838327.50
 219  19.0399513  2654929.25
 220  19.2472820  2489332.00
 221  19.4568710  2345667.00
 222  19.6687431  2252186.50
 223  19.8829212  2088255.75
 224  20.0994320  1799516.25
 225  20.3183002  1629861.62
 226  20.5395527  1478156.12
 227  20.7632141  1388253.62
 228  20.9893112  1300162.25
 229  21.2178707  1186399.25
 230  21.4489174  1071909.62
 231  21.6824818  994472.938
 232  21.9185886  927797.812
 233  22.1572666  874483.750
 234  22.3985443  828188.562
 235  22.6424484  787169.375
 236  22.8890095  749932.375
 237  23.1382542  716492.750
 238  23.3902130  686082.438
 239  23.6449165  658540.375
 240  23.9023933  633148.688
 241  24.1626740  610158.438
 242  24.4257889  588576.125
 243  24.6917686  568947.062
 244  24.9606438  550027.312
 245  25.2324467  532873.312
 246  25.5072098  516071.812
 247  25.7849655  504035.875
 248  26.0657463  492372.969
 249  26.3495846  482099.469
 250  26.6365128  472520.344
 251  26.9265652  463717.938
 252  27.2197762  455722.812
 253  27.5161800  448031.625
 254  27.8158112  441417.656
 255  28.1187057  435086.500
 256  28.4248981  429228.344
 257  28.7344246  423851.438
 258  29.0473213  418685.031
 259  29.3636265  413962.250
 260  29.6833763  409398.750
 261  30.0066071  404962.969
 262  30.3333569  401389.000
 263  30.6636658  397779.938
 264  30.9975719  394133.406
 265  31.3351135  391004.312
 266  31.6763306  387846.812
 267  32.0212631  384685.219
 268  32.3699532  381928.625
 269  32.7224388  379143.188
 270  33.0787621  376420.562
 271  33.4389648  373994.750
 272  33.8030930  371541.875
 273  34.1711845  369209.938
 274  34.5432854  367023.312
 275  34.9194374  364812.562
 276  35.2996864  362768.594
 277  35.6840744  360752.750
 278  36.0726471  358758.750
 279  36.4654541  356930.844
 280  36.8625374  355081.656
 281  37.2639427  353307.406
 282  37.6697197  351563.406
 283  38.0799179  349821.750
 284  38.4945831  348150.500
 285  38.9137611  346462.219
 286  39.3375053  344884.438
 287  39.7658615  343322.156
 288  40.1988831  341778.281
 289  40.6366196  340261.469
 290  41.0791245  338743.906
 291  41.5264473  337281.188
 292  41.9786415  335802.969
 293  42.4357605  334369.344
 294  42.8978577  332925.062
 295  43.3649864  331502.875
 296  43.8372002  330077.875
 297  44.3145561  328683.031
 298  44.7971115  327296.375
 299  45.2849197  325925.250
 300  45.7780418  324561.844
 301  46.2765312  323207.969
 302  46.7804489  321858.469
 303  47.2898560  320518.062
 304  47.8048096  319182.500
 305  48.3253708  317851.438
 306  48.8516006  316521.844
 307  49.3835602  315203.312
 308  49.9213104  313883.812
 309  50.4649200  312575.594
 310  51.0144463  311265.125
 311  51.5699577  309966.188
 312  52.1315193  308665.344
 313  52.6991959  307371.281
 314  53.2730522  306077.750
 315  53.8531570  304786.062
 316  54.4395790  303498.688
 317  55.0323868  302207.812
 318  55.6316490  300924.781
 319  56.2374382  299640.531
 320  56.8498230  298361.906
 321  57.4688759  297088.562
 322  58.0946693  295818.125
 323  58.7272797  294549.656
 324  59.3667793  293282.031
 325  60.0132408  292012.469
 326  60.6667442  290746.500
 327  61.3273621  289480.250
 328  61.9951744  288214.375
 329  62.6702576  286958.656
 330  63.3526917  285703.719
 331  64.0425568  284448.656
 332  64.7399368  283197.750
 333  65.4449081  281945.688
 334  66.1575546  280693.938
 335  66.8779602  279447.406
 336  67.6062164  278206.625
 337  68.3423996  276967.906
 338  69.0866013  275729.562
 339  69.8389053  274496.188
 340  70.5994034  273262.469
 341  71.3681793  272028.500
 342  72.1453247  270794.594
 343  72.9309387  269568.312
 344  73.7251053  268344.688
 345  74.5279160  267132.125
 346  75.3394699  265919.469
 347  76.1598663  264700.344
 348  76.9891968  263491.094
 349  77.8275528  262283.438
 350  78.6750412  261084.469
 351  79.5317535  259887.609
 352  80.3977966  258698.688
 353  81.2732697  257518.359
 354  82.1582794  256337.047
 355  83.0529251  255167.859
 356  83.9573135  254013.094
 357  84.8715515  252851.688
 358  85.7957458  251676.734
 359  86.7300034  250516.375
 360  87.6744308  249352.141
 361  88.6291428  248062.047
 362  89.5942535  246349.422
 363  90.5698700  244393.609
 364  91.5561142  242359.156
 365  92.5530930  240276.984
 366  93.5609283  238093.656
