 # mass   0.511003971      MeV
 # Ekin    5000.00000      MeV
 # path   0.260199994      um
 # mean dE/dx    374.291534      eV/um
 # j   dE [eV]   dE*dE*dsig/ddE [eV*eV/cm]
 START
   1  1.79589844  1106.63306
   2  1.81545448  1131.19080
   3  1.83522356  1156.29919
   4  1.85520780  1181.96472
   5  1.87540972  1208.19971
   6  1.89583158  1235.01709
   7  1.91647589  1262.38110
   8  1.93734491  1290.33789
   9  1.95844126  1318.91418
  10  1.97976732  1348.12244
  11  2.00132561  1377.97241
  12  2.02311873  1408.40564
  13  2.04514909  1439.51050
  14  2.06741929  1471.30225
  15  2.08993196  1503.79578
  16  2.11268973  1537.29822
  17  2.13569546  1571.78076
  18  2.15895176  1607.03101
  19  2.18246126  1643.06567
  20  2.20622683  1679.65991
  21  2.23025107  1716.36865
  22  2.25453687  1778.91418
  23  2.27908707  1819.35657
  24  2.30390477  1860.38550
  25  2.32899261  1902.37939
  26  2.35435367  1945.23071
  27  2.37999082  1988.97485
  28  2.40590715  2033.69922
  29  2.43210578  2079.55273
  30  2.45858979  2126.42505
  31  2.48536205  2174.28955
  32  2.51242590  2223.21997
  33  2.53978443  2273.21143
  34  2.56744099  2324.29102
  35  2.59539866  2376.48120
  36  2.62366080  2428.37891
  37  2.65223050  2481.15601
  38  2.68111134  2535.06592
  39  2.71030664  2590.48364
  40  2.73982000  2647.61938
  41  2.76965475  2705.99048
  42  2.79981422  2765.64551
  43  2.83030224  2826.51440
  44  2.86112213  2888.68628
  45  2.89227772  2952.21558
  46  2.92377257  3015.80615
  47  2.95561028  3080.37817
  48  2.98779488  3146.39087
  49  3.02032995  3210.69971
  50  3.05321932  3274.74072
  51  3.08646679  3340.43481
  52  3.12007618  3399.91260
  53  3.15405154  3456.48047
  54  3.18839693  3515.60547
  55  3.22311640  3535.10132
  56  3.25821376  3539.66650
  57  3.29369330  3550.84668
  58  3.32955933  3476.05322
  59  3.36581588  3380.85669
  60  3.40246725  3295.33228
  61  3.43951774  3295.01074
  62  3.47697163  3281.60693
  63  3.51483345  3285.26440
  64  3.55310750  3334.41602
  65  3.59179831  3382.08472
  66  3.63091040  3435.42798
  67  3.67044854  3490.60107
  68  3.71041703  3544.56055
  69  3.75082088  3594.81689
  70  3.79166460  3645.00610
  71  3.83295321  3691.81812
  72  3.87469125  3737.87964
  73  3.91688395  3779.21948
  74  3.95953608  3813.70386
  75  4.00265265  3846.41528
  76  4.04623890  3845.32886
  77  4.09029961  3845.89722
  78  4.13484001  3768.61816
  79  4.17986536  3672.15112
  80  4.22538090  3535.59424
  81  4.27139235  3346.36865
  82  4.31790495  3165.65381
  83  4.36492395  2980.83740
  84  4.41245508  2784.46436
  85  4.46050358  2703.79297
  86  4.50907516  2604.92261
  87  4.55817556  2582.17407
  88  4.60781097  2552.23193
  89  4.65798664  2620.09131
  90  4.70870876  2697.98047
  91  4.75998306  2816.90283
  92  4.81181574  2949.06274
  93  4.86421299  3089.75781
  94  4.91718102  3243.99585
  95  4.97072554  3408.34155
  96  5.02485323  3582.92456
  97  5.07957029  3764.37695
  98  5.13488340  3935.57983
  99  5.19079876  4101.57178
 100  5.24732304  4198.75732
 101  5.30446243  4275.94189
 102  5.36222410  4268.05811
 103  5.42061472  4260.38330
 104  5.47964144  4257.80908
 105  5.53931093  4303.08398
 106  5.59962988  4376.15820
 107  5.66060591  4488.70410
 108  5.72224569  4603.11084
 109  5.78455687  4717.90332
 110  5.84754658  4819.07129
 111  5.91122198  4913.44629
 112  5.97559118  4998.71680
 113  6.04066133  5120.37842
 114  6.10644007  5271.01318
 115  6.17293501  5427.34961
 116  6.24015379  5594.49658
 117  6.30810452  5772.37549
 118  6.37679529  5958.47266
 119  6.44623423  6156.60254
 120  6.51642895  6366.47021
 121  6.58738804  6587.41260
 122  6.65912008  6824.41650
 123  6.73163319  7076.04541
 124  6.80493593  7345.02393
 125  6.87903690  7663.05176
 126  6.95394468  8005.07910
 127  7.02966833  8354.80371
 128  7.10621643  8695.44629
 129  7.18359804  9054.92969
 130  7.26182222  9241.58203
 131  7.34089851  9368.91406
 132  7.42083549  9518.60059
 133  7.50164318  9767.15332
 134  7.58333063  10017.1543
 135  7.66590786  10322.6748
 136  7.74938440  10652.1875
 137  7.83376980  11009.4053
 138  7.91907406  11408.8525
 139  8.00530720  11827.8193
 140  8.09247971  12256.4561
 141  8.18060112  12706.6455
 142  8.26968193  13153.0371
 143  8.35973263  13610.5361
 144  8.45076466  14145.9658
 145  8.54278755  14764.1562
 146  8.63581276  15417.2021
 147  8.72985077  16101.5488
 148  8.82491302  16802.2012
 149  8.92101002  17447.9062
 150  9.01815319  18160.4707
 151  9.11635494  19082.4941
 152  9.21562576  20043.0977
 153  9.31597710  20852.8809
 154  9.41742134  21745.7363
 155  9.51996994  22902.0762
 156  9.62363529  24134.5449
 157  9.72842979  25373.7852
 158  9.83436584  26704.1406
 159  9.94145489  28117.9023
 160  10.0497103  29660.7188
 161  10.1591444  31352.0625
 162  10.2697706  33265.6758
 163  10.3816013  35415.3984
 164  10.4946499  37625.8516
 165  10.6089296  40020.1797
 166  10.7244530  42538.4609
 167  10.8412342  45276.4609
 168  10.9592876  48215.3594
 169  11.0786266  51379.6875
 170  11.1992655  54836.9062
 171  11.3212175  58525.2070
 172  11.4444971  62568.1992
 173  11.5691195  66960.2969
 174  11.6950989  71724.9141
 175  11.8224506  76967.9609
 176  11.9511890  91581.7188
 177  12.0813293  98142.5781
 178  12.2128868  105229.859
 179  12.3458767  113088.711
 180  12.4803143  121689.062
 181  12.6162157  131057.953
 182  12.7535973  141513.438
 183  12.8924751  153082.922
 184  13.0328655  165813.703
 185  13.1747847  180028.188
 186  13.3182487  196056.641
 187  13.4632750  213911.500
 188  13.6098804  233837.734
 189  13.7580824  256730.500
 190  13.9078979  282979.219
 191  14.0593452  312747.844
 192  14.2124414  346356.812
 193  14.3672047  384403.719
 194  14.5236530  427396.031
 195  14.6818056  475697.125
 196  14.8416805  529912.625
 197  15.0032959  590666.750
 198  15.1666708  659359.938
 199  15.3318253  735639.062
 200  15.4987783  819402.000
 201  15.6675491  910075.812
 202  15.8381577  1006294.81
 203  16.0106239  1105635.38
 204  16.1849689  1204069.25
 205  16.3612118  1295864.38
 206  16.5393734  1375109.88
 207  16.7194748  1436016.88
 208  16.9015388  1474022.62
 209  17.0855846  1486726.50
 210  17.2716351  1474356.12
 211  17.4597111  1439603.00
 212  17.6498356  1386919.25
 213  17.8420296  1321547.75
 214  18.0363159  1248636.75
 215  18.2327194  1172614.88
 216  18.4312611  1096925.62
 217  18.6319637  1024030.12
 218  18.8348522  955567.938
 219  19.0399513  892620.750
 220  19.2472820  836059.125
 221  19.4568710  787273.750
 222  19.6687431  756210.188
 223  19.8829212  699357.875
 224  20.0994320  596972.875
 225  20.3183002  538163.875
 226  20.5395527  486156.031
 227  20.7632141  454724.188
 228  20.9893112  424236.000
 229  21.2178707  386707.906
 230  21.4489174  349234.469
 231  21.6824818  323490.094
 232  21.9185886  301249.375
 233  22.1572666  283415.750
 234  22.3985443  267922.000
 235  22.6424484  254167.656
 236  22.8890095  241664.969
 237  23.1382542  230490.859
 238  23.3902130  220374.875
 239  23.6449165  211264.531
 240  23.9023933  202908.250
 241  24.1626740  195394.031
 242  24.4257889  188377.406
 243  24.6917686  181995.969
 244  24.9606438  175850.250
 245  25.2324467  170323.453
 246  25.5072098  164923.609
