 # mass    139.578003      MeV
 # Ekin    45000.0000      MeV
 # path   0.260206014      um
 # mean dE/dx    373.898499      eV/um
 #         j      dE [eV]      dE*dE*dsig/ddE [eV*eV/cm]
 START
           1      1.79589844          1106.63220    
           2      1.81545448          1131.18982    
           3      1.83522356          1156.29834    
           4      1.85520780          1181.96387    
           5      1.87540972          1208.19897    
           6      1.89583158          1235.01611    
           7      1.91647589          1262.38025    
           8      1.93734491          1290.33716    
           9      1.95844126          1318.91321    
          10      1.97976732          1348.12134    
          11      2.00132561          1377.97144    
          12      2.02311873          1408.40466    
          13      2.04514909          1439.50964    
          14      2.06741929          1471.30139    
          15      2.08993196          1503.79456    
          16      2.11268973          1537.29724    
          17      2.13569546          1571.77966    
          18      2.15895176          1607.03015    
          19      2.18246126          1643.06445    
          20      2.20622683          1679.65894    
          21      2.23025107          1716.36755    
          22      2.25453687          1778.91333    
          23      2.27908707          1819.35559    
          24      2.30390477          1860.38464    
          25      2.32899261          1902.37878    
          26      2.35435367          1945.22986    
          27      2.37999082          1988.97363    
          28      2.40590715          2033.69812    
          29      2.43210578          2079.55176    
          30      2.45858979          2126.42407    
          31      2.48536205          2174.28882    
          32      2.51242590          2223.21924    
          33      2.53978443          2273.21045    
          34      2.56744099          2324.29004    
          35      2.59539866          2376.48022    
          36      2.62366080          2428.37769    
          37      2.65223050          2481.15503    
          38      2.68111134          2535.06519    
          39      2.71030664          2590.48267    
          40      2.73982000          2647.61890    
          41      2.76965475          2705.98950    
          42      2.79981422          2765.64478    
          43      2.83030224          2826.51367    
          44      2.86112213          2888.68555    
          45      2.89227772          2952.21460    
          46      2.92377257          3015.80518    
          47      2.95561028          3080.37720    
          48      2.98779488          3146.39062    
          49      3.02032995          3210.69849    
          50      3.05321932          3274.74048    
          51      3.08646679          3340.43384    
          52      3.12007618          3399.91235    
          53      3.15405154          3456.48047    
          54      3.18839693          3515.60522    
          55      3.22311640          3535.10132    
          56      3.25821376          3539.66724    
          57      3.29369330          3550.84692    
          58      3.32955933          3476.05347    
          59      3.36581588          3380.85742    
          60      3.40246725          3295.33252    
          61      3.43951774          3295.01172    
          62      3.47697163          3281.60767    
          63      3.51483345          3285.26562    
          64      3.55310750          3334.41699    
          65      3.59179831          3382.08569    
          66      3.63091040          3435.42969    
          67      3.67044854          3490.60327    
          68      3.71041703          3544.56177    
          69      3.75082088          3594.81836    
          70      3.79166460          3645.00781    
          71      3.83295321          3691.82031    
          72      3.87469125          3737.88159    
          73      3.91688395          3779.22192    
          74      3.95953608          3813.70557    
          75      4.00265265          3846.41724    
          76      4.04623890          3845.33130    
          77      4.09029961          3845.90015    
          78      4.13484001          3768.62061    
          79      4.17986536          3672.15479    
          80      4.22538090          3535.59717    
          81      4.27139235          3346.37158    
          82      4.31790495          3165.65674    
          83      4.36492395          2980.84106    
          84      4.41245508          2784.46826    
          85      4.46050358          2703.79663    
          86      4.50907516          2604.92676    
          87      4.55817556          2582.17896    
          88      4.60781097          2552.23657    
          89      4.65798664          2620.09668    
          90      4.70870876          2697.98682    
          91      4.75998306          2816.90991    
          92      4.81181574          2949.07031    
          93      4.86421299          3089.76587    
          94      4.91718102          3244.00464    
          95      4.97072554          3408.35132    
          96      5.02485323          3582.93481    
          97      5.07957029          3764.38770    
          98      5.13488340          3935.59155    
          99      5.19079876          4101.58398    
         100      5.24732304          4198.77002    
         101      5.30446243          4275.95459    
         102      5.36222410          4268.07129    
         103      5.42061472          4260.39697    
         104      5.47964144          4257.82275    
         105      5.53931093          4303.09863    
         106      5.59962988          4376.17334    
         107      5.66060591          4488.72021    
         108      5.72224569          4603.12793    
         109      5.78455687          4717.92090    
         110      5.84754658          4819.08984    
         111      5.91122198          4913.46631    
         112      5.97559118          4998.73682    
         113      6.04066133          5120.39893    
         114      6.10644007          5271.03564    
         115      6.17293501          5427.37354    
         116      6.24015379          5594.52100    
         117      6.30810452          5772.40186    
         118      6.37679529          5958.49902    
         119      6.44623423          6156.63086    
         120      6.51642895          6366.50000    
         121      6.58738804          6587.44434    
         122      6.65912008          6824.45020    
         123      6.73163319          7076.08008    
         124      6.80493593          7345.06104    
         125      6.87903690          7663.09082    
         126      6.95394468          8005.12061    
         127      7.02966833          8354.84863    
         128      7.10621643          8695.49316    
         129      7.18359804          9054.97852    
         130      7.26182222          9241.63184    
         131      7.34089851          9368.96582    
         132      7.42083549          9518.65332    
         133      7.50164318          9767.20898    
         134      7.58333063          10017.2119    
         135      7.66590786          10322.7344    
         136      7.74938440          10652.2510    
         137      7.83376980          11009.4707    
         138      7.91907406          11408.9199    
         139      8.00530720          11827.8916    
         140      8.09247971          12256.5322    
         141      8.18060112          12706.7236    
         142      8.26968193          13153.1211    
         143      8.35973263          13610.6230    
         144      8.45076466          14146.0576    
         145      8.54278755          14764.2510    
         146      8.63581276          15417.3037    
         147      8.72985077          16101.6553    
         148      8.82491302          16802.3145    
         149      8.92101002          17448.0254    
         150      9.01815319          18160.5957    
         151      9.11635494          19082.6270    
         152      9.21562576          20043.2383    
         153      9.31597710          20853.0273    
         154      9.41742134          21745.8906    
         155      9.51996994          22902.2383    
         156      9.62363529          24134.7207    
         157      9.72842979          25373.9688    
         158      9.83436584          26704.3379    
         159      9.94145489          28118.1074    
         160      10.0497103          29660.9375    
         161      10.1591444          31352.2988    
         162      10.2697706          33265.9297    
         163      10.3816013          35415.6641    
         164      10.4946499          37626.1367    
         165      10.6089296          40020.4844    
         166      10.7244530          42538.7891    
         167      10.8412342          45276.8125    
         168      10.9592876          48215.7344    
         169      11.0786266          51380.0938    
         170      11.1992655          54837.3398    
         171      11.3212175          58525.6680    
         172      11.4444971          62568.6875    
         173      11.5691195          66960.8203    
         174      11.6950989          71725.4766    
         175      11.8224506          76968.5703    
         176      11.9511890          91582.4688    
         177      12.0813293          98143.3750    
         178      12.2128868          105230.727    
         179      12.3458767          113089.641    
         180      12.4803143          121690.070    
         181      12.6162157          131059.039    
         182      12.7535973          141514.609    
         183      12.8924751          153084.188    
         184      13.0328655          165815.078    
         185      13.1747847          180029.672    
         186      13.3182487          196058.281    
         187      13.4632750          213913.266    
         188      13.6098804          233839.688    
         189      13.7580824          256732.656    
         190      13.9078979          282981.594    
         191      14.0593452          312750.469    
